#trace-cmd record -p function_graph -g __x64_sys_write -n rw_verify_area -O nofuncgraph-irqs ./hello
CPU 0 is empty
cpus=2
           <...>-62710 [001] 84160.122121: funcgraph_entry:                   |  __x64_sys_write() {
           <...>-62710 [001] 84160.122122: funcgraph_entry:                   |    ksys_write() {
           <...>-62710 [001] 84160.122122: funcgraph_entry:                   |      __fdget_pos() {
           <...>-62710 [001] 84160.122123: funcgraph_entry:        0.165 us   |        __fget_light();
           <...>-62710 [001] 84160.122123: funcgraph_exit:         0.577 us   |      }
           <...>-62710 [001] 84160.122123: funcgraph_entry:                   |      vfs_write() {
           <...>-62710 [001] 84160.122124: funcgraph_entry:                   |        __vfs_write() {
           <...>-62710 [001] 84160.122124: funcgraph_entry:                   |          tty_write() {
           <...>-62710 [001] 84160.122124: funcgraph_entry:        0.186 us   |            tty_paranoia_check();
           <...>-62710 [001] 84160.122125: funcgraph_entry:                   |            tty_ldisc_ref_wait() {
           <...>-62710 [001] 84160.122125: funcgraph_entry:        0.155 us   |              ldsem_down_read();
           <...>-62710 [001] 84160.122125: funcgraph_exit:         0.509 us   |            }
           <...>-62710 [001] 84160.122126: funcgraph_entry:                   |            tty_write_lock() {
           <...>-62710 [001] 84160.122126: funcgraph_entry:        0.150 us   |              mutex_trylock();
           <...>-62710 [001] 84160.122126: funcgraph_exit:         0.429 us   |            }
           <...>-62710 [001] 84160.122127: funcgraph_entry:                   |            __check_object_size() {
           <...>-62710 [001] 84160.122127: funcgraph_entry:        0.131 us   |              check_stack_object();
           <...>-62710 [001] 84160.122127: funcgraph_entry:        0.203 us   |              __virt_addr_valid();
           <...>-62710 [001] 84160.122128: funcgraph_entry:        0.157 us   |              __check_heap_object();
           <...>-62710 [001] 84160.122128: funcgraph_exit:         1.285 us   |            }
           <...>-62710 [001] 84160.122128: funcgraph_entry:                   |            n_tty_write() {
           <...>-62710 [001] 84160.122128: funcgraph_entry:        0.232 us   |              down_read();
           <...>-62710 [001] 84160.122129: funcgraph_entry:        0.392 us   |              process_echoes();
           <...>-62710 [001] 84160.122129: funcgraph_entry:                   |              add_wait_queue() {
           <...>-62710 [001] 84160.122129: funcgraph_entry:                   |                _raw_spin_lock_irqsave() {
           <...>-62710 [001] 84160.122130: funcgraph_entry:        0.140 us   |                  preempt_count_add();
           <...>-62710 [001] 84160.122130: funcgraph_exit:         0.399 us   |                }
           <...>-62710 [001] 84160.122130: funcgraph_entry:                   |                _raw_spin_unlock_irqrestore() {
           <...>-62710 [001] 84160.122130: funcgraph_entry:        0.132 us   |                  preempt_count_sub();
           <...>-62710 [001] 84160.122130: funcgraph_exit:         0.400 us   |                }
           <...>-62710 [001] 84160.122130: funcgraph_exit:         1.175 us   |              }
           <...>-62710 [001] 84160.122131: funcgraph_entry:        0.131 us   |              tty_hung_up_p();
           <...>-62710 [001] 84160.122131: funcgraph_entry:        0.243 us   |              mutex_lock();
           <...>-62710 [001] 84160.122131: funcgraph_entry:                   |              tty_write_room() {
           <...>-62710 [001] 84160.122132: funcgraph_entry:                   |                pty_write_room() {
           <...>-62710 [001] 84160.122132: funcgraph_entry:        0.261 us   |                  tty_buffer_space_avail();
           <...>-62710 [001] 84160.122132: funcgraph_exit:         0.639 us   |                }
           <...>-62710 [001] 84160.122132: funcgraph_exit:         1.037 us   |              }
           <...>-62710 [001] 84160.122133: funcgraph_entry:                   |              pty_write() {
           <...>-62710 [001] 84160.122133: funcgraph_entry:                   |                _raw_spin_lock_irqsave() {
